species	electiveCS_mean	VD_mean	b_mean	c_mean	d_mean	healthy_mean	genus_name	genus_lineage	species_name	species_lineage
Neisseria_elongata	0.0	0.0	0.0	0.756446087	1.063914375	2.078073667	Neisseria	Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;	Neisseria elongata	Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria elongata
Capnocytophaga_gingivalis	0.0	0.0	0.0	2.17419087	1.0204325	0.700744	Capnocytophaga	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;	Capnocytophaga gingivalis	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;Capnocytophaga gingivalis
Rothia_dentocariosa	0.0	0.0	0.0	0.115908696	0.371083125	3.054017333	Rothia	Bacteria;Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae;Rothia;	Rothia dentocariosa	Bacteria;Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae;Rothia;Rothia dentocariosa
Raoultella_ornithinolytica	0.01894	0.0	3.266785833	0.0	0.0	0.0	Raoultella	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Raoultella;	Raoultella ornithinolytica	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Raoultella;Raoultella ornithinolytica
Enterococcus_faecium	0.0	0.0	3.139645	0.0	0.02632875	0.0	Enterococcus	Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;	Enterococcus faecium	Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus faecium
Lautropia_mirabilis	0.0	0.0	2.13475125	0.0	0.3964	0.60302	Lautropia	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Lautropia;	Lautropia mirabilis	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Lautropia;Lautropia mirabilis
Gemella_morbillorum	0.0	0.0	0.144574583	0.576442174	0.40203375	1.971872	Gemella	Bacteria;Firmicutes;Bacilli;Bacillales;;Gemella;	Gemella morbillorum	Bacteria;Firmicutes;Bacilli;Bacillales;;Gemella;Gemella morbillorum
Bifidobacterium_pseudocatenulatum	0.0	0.0	0.0	0.060133478	2.9728025	0.0	Bifidobacterium	Bacteria;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;	Bifidobacterium pseudocatenulatum	Bacteria;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium pseudocatenulatum
Escherichia_fergusonii	0.0	2.47715	0.139171667	0.0	0.010236875	0.002250667	Escherichia	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;	Escherichia fergusonii	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia fergusonii
Rothia_aeria	0.0	0.0	0.0	0.061940435	0.59096125	1.950029333	Rothia	Bacteria;Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae;Rothia;	Rothia aeria	Bacteria;Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae;Rothia;Rothia aeria
